,Feature,SHAP Value
0,feature_17,6.5052130349130266e-18
1,feature_23,3.469446951953614e-18
2,feature_6,-3.469446951953614e-18
3,feature_27,2.8189256484623115e-18
4,feature_30,-2.6020852139652106e-18
5,feature_37,-2.3852447794681098e-18
6,feature_0,2.168404344971009e-18
7,feature_13,-2.168404344971009e-18
8,feature_49,2.168404344971009e-18
9,feature_11,1.3010426069826053e-18
10,feature_36,1.3010426069826053e-18
11,feature_2,1.0842021724855044e-18
12,feature_3,-1.0842021724855044e-18
13,feature_18,1.0842021724855044e-18
14,feature_24,-9.893344823930228e-19
15,feature_33,-8.673617379884035e-19
16,feature_7,-8.402566836762659e-19
17,feature_21,8.267041565201971e-19
18,feature_34,-7.318364664277155e-19
19,feature_25,7.081195439045951e-19
20,feature_35,-6.911788849595091e-19
21,feature_45,-6.505213034913027e-19
22,feature_5,-6.2341624917916505e-19
23,feature_46,6.2002811739014785e-19
24,feature_41,5.421010862427522e-19
25,feature_12,5.149960319306146e-19
26,feature_19,4.929731753020028e-19
27,feature_8,-4.87890977618477e-19
28,feature_20,4.336808689942018e-19
29,feature_15,4.2012834183813297e-19
30,feature_10,4.163166935754886e-19
31,feature_31,-3.7269449679189215e-19
32,feature_38,3.4220131069073734e-19
33,feature_44,-3.1763735522036263e-19
34,feature_42,-2.981555974335137e-19
35,feature_14,2.693564772268675e-19
36,feature_28,1.8973538018496328e-19
37,feature_32,-1.8634724839594607e-19
38,feature_26,-1.7618285302889447e-19
39,feature_29,1.5585406229479126e-19
40,feature_40,1.3552527156068805e-19
41,feature_43,-1.2197274440461925e-19
42,feature_9,1.1180834903756764e-19
43,feature_47,1.0164395367051604e-19
44,feature_22,8.385626177817573e-20
45,feature_48,8.131516293641283e-20
46,feature_1,5.421010862427522e-20
47,feature_16,4.743384504624082e-20
48,feature_39,2.710505431213761e-20
49,feature_4,0.0
